UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root         1     0     1  0    1 out07 ?        00:00:11 /sbin/init splash
root         2     0     2  0    1 out07 ?        00:00:00 [kthreadd]
root         3     2     3  0    1 out07 ?        00:00:00 [rcu_gp]
root         4     2     4  0    1 out07 ?        00:00:00 [rcu_par_gp]
root         6     2     6  0    1 out07 ?        00:00:00 [kworker/0:0H-kb]
root         9     2     9  0    1 out07 ?        00:00:00 [mm_percpu_wq]
root        10     2    10  0    1 out07 ?        00:00:01 [ksoftirqd/0]
root        11     2    11  0    1 out07 ?        00:00:29 [rcu_sched]
root        12     2    12  0    1 out07 ?        00:00:00 [migration/0]
root        13     2    13  0    1 out07 ?        00:00:00 [idle_inject/0]
root        14     2    14  0    1 out07 ?        00:00:00 [cpuhp/0]
root        15     2    15  0    1 out07 ?        00:00:00 [cpuhp/1]
root        16     2    16  0    1 out07 ?        00:00:00 [idle_inject/1]
root        17     2    17  0    1 out07 ?        00:00:00 [migration/1]
root        18     2    18  0    1 out07 ?        00:00:01 [ksoftirqd/1]
root        20     2    20  0    1 out07 ?        00:00:00 [kworker/1:0H-kb]
root        21     2    21  0    1 out07 ?        00:00:00 [cpuhp/2]
root        22     2    22  0    1 out07 ?        00:00:00 [idle_inject/2]
root        23     2    23  0    1 out07 ?        00:00:00 [migration/2]
root        24     2    24  0    1 out07 ?        00:00:01 [ksoftirqd/2]
root        27     2    27  0    1 out07 ?        00:00:00 [cpuhp/3]
root        28     2    28  0    1 out07 ?        00:00:00 [idle_inject/3]
root        29     2    29  0    1 out07 ?        00:00:00 [migration/3]
root        30     2    30  0    1 out07 ?        00:00:01 [ksoftirqd/3]
root        33     2    33  0    1 out07 ?        00:00:00 [kdevtmpfs]
root        34     2    34  0    1 out07 ?        00:00:00 [netns]
root        35     2    35  0    1 out07 ?        00:00:00 [rcu_tasks_kthre]
root        36     2    36  0    1 out07 ?        00:00:00 [kauditd]
root        39     2    39  0    1 out07 ?        00:00:00 [khungtaskd]
root        40     2    40  0    1 out07 ?        00:00:00 [oom_reaper]
root        41     2    41  0    1 out07 ?        00:00:00 [writeback]
root        42     2    42  0    1 out07 ?        00:00:00 [kcompactd0]
root        43     2    43  0    1 out07 ?        00:00:00 [ksmd]
root        44     2    44  0    1 out07 ?        00:00:00 [khugepaged]
root        90     2    90  0    1 out07 ?        00:00:00 [kintegrityd]
root        91     2    91  0    1 out07 ?        00:00:00 [kblockd]
root        92     2    92  0    1 out07 ?        00:00:00 [blkcg_punt_bio]
root        94     2    94  0    1 out07 ?        00:00:00 [tpm_dev_wq]
root        95     2    95  0    1 out07 ?        00:00:00 [ata_sff]
root        96     2    96  0    1 out07 ?        00:00:00 [md]
root        97     2    97  0    1 out07 ?        00:00:00 [edac-poller]
root        98     2    98  0    1 out07 ?        00:00:00 [devfreq_wq]
root        99     2    99  0    1 out07 ?        00:00:00 [watchdogd]
root       102     2   102  0    1 out07 ?        00:00:42 [kswapd0]
root       103     2   103  0    1 out07 ?        00:00:00 [ecryptfs-kthrea]
root       105     2   105  0    1 out07 ?        00:00:00 [kthrotld]
root       106     2   106  0    1 out07 ?        00:00:00 [acpi_thermal_pm]
root       108     2   108  0    1 out07 ?        00:00:00 [vfio-irqfd-clea]
